BAP1	OMIM:619762
BAP1	OMIM:606661
BAP1	ORPHA:2495
SLC12A5	OMIM:616685
SLC12A5	OMIM:616645
ADH1B	OMIM:103780
CDC45	ORPHA:2554
CDC45	OMIM:617063
ADH1C	OMIM:103780
ADH1C	OMIM:168600
ADH5	OMIM:619151
EOMES	ORPHA:171703
FZD4	ORPHA:891
FZD4	ORPHA:90050
FZD4	ORPHA:91495
FZD4	OMIM:133780
FZD6	OMIM:161050
ADK	OMIM:614300
SHROOM4	ORPHA:85288
PRR12	OMIM:619539
ADORA2A	ORPHA:363549
GFI1B	OMIM:187900
TTC8	ORPHA:791
TTC8	ORPHA:110
TTC8	OMIM:615985
TTC8	OMIM:613464
PTCHD1	OMIM:300830
ARID1B	OMIM:135900
ARID1B	ORPHA:1465
ARID1B	ORPHA:251056
ADRA2B	ORPHA:86814
ADRB2	OMIM:601665
ADRB2	OMIM:600807
KIDINS220	ORPHA:521390
KIDINS220	OMIM:619501
KIDINS220	OMIM:617296
ADRB3	OMIM:601665
SFTPA2	ORPHA:2032
SFTPA2	OMIM:178500
OTULIN	OMIM:619986
OTULIN	OMIM:617099
NLGN4X	OMIM:300495
NLGN4X	OMIM:300497
ADSL	OMIM:103050
ADSL	ORPHA:46
SLC24A4	OMIM:615887
AARS2	OMIM:614096
AARS2	OMIM:615889
AP1B1	OMIM:242150
AP1B1	ORPHA:171851
KRT6C	OMIM:615735
AP1G1	OMIM:619467
AP1G1	OMIM:619548
AEBP1	OMIM:618000
AEBP1	ORPHA:536532
COG6	ORPHA:363523
COG6	OMIM:615328
COG6	OMIM:614576
ARHGAP31	ORPHA:974
ARHGAP31	OMIM:100300
H4C11	OMIM:619759
H4C3	OMIM:619758
AFP	OMIM:615969
H4C5	OMIM:619950
AGA	OMIM:208400
AGA	ORPHA:93
ACAN	ORPHA:171866
ACAN	OMIM:608361
ACAN	ORPHA:93283
ACAN	ORPHA:435804
ACAN	OMIM:612813
ACAN	OMIM:165800
HECW2	OMIM:617268
AGL	OMIM:232400
AGL	ORPHA:366
SRGAP1	OMIM:188470
AGRP	OMIM:601665
JAG1	OMIM:118450
JAG1	ORPHA:3303
JAG1	OMIM:187500
JAG1	OMIM:619574
JAG1	OMIM:617992
PCDH19	ORPHA:33069
PCDH19	ORPHA:101039
PCDH19	OMIM:300088
AGT	OMIM:267430
AGT	OMIM:145500
AGTR1	OMIM:267430
AGTR1	OMIM:145500
HACE1	ORPHA:635
HACE1	OMIM:616756
HACE1	ORPHA:464282
MAD1L1	OMIM:176807
AGXT	OMIM:259900
AGXT	ORPHA:93598
NR0B1	ORPHA:242
NR0B1	OMIM:300200
NR0B1	ORPHA:393
NR0B1	ORPHA:251510
NR0B1	OMIM:300018
NME5	OMIM:620032
MIB1	OMIM:615092
AHCY	ORPHA:88618
AHCY	OMIM:613752
ALPK3	OMIM:618052
WDR35	OMIM:613610
WDR35	ORPHA:1515
WDR35	OMIM:614091
WDR35	ORPHA:93271
AHR	ORPHA:791
AHR	OMIM:618345
AHSG	OMIM:203650
AHSG	ORPHA:2850
CC2D2A	OMIM:612284
CC2D2A	OMIM:619111
CC2D2A	ORPHA:1454
CC2D2A	ORPHA:2318
CC2D2A	OMIM:619845
CC2D2A	OMIM:612285
CC2D2A	ORPHA:564
AK1	OMIM:612631
AK2	ORPHA:33355
AK2	OMIM:267500
PLA2G6	OMIM:256600
PLA2G6	OMIM:610217
PLA2G6	OMIM:612953
PLA2G6	ORPHA:35069
PLA2G6	ORPHA:199351
AKT1	OMIM:114500
AKT1	ORPHA:2495
AKT1	OMIM:167000
AKT1	OMIM:176920
AKT1	ORPHA:201
AKT1	ORPHA:744
AKT1	OMIM:114480
AKT1	OMIM:615109
TAOK1	OMIM:619575
HFM1	OMIM:615724
AKT2	ORPHA:293964
AKT2	OMIM:125853
AKT2	OMIM:240900
AKT2	ORPHA:79085
SLC25A11	ORPHA:29072
SLC25A11	OMIM:618464
ALAD	OMIM:612740
ALAD	ORPHA:100924
ALAS2	ORPHA:75563
ALAS2	OMIM:300752
ALAS2	OMIM:300751
ALB	ORPHA:86816
ALB	OMIM:616000
